"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Arnt",3027,2697,2571,3377,3448,2540,2770,2655,2995,3370
"Golph3l",3055,2514,2674,3148,4666,2791,2986,2622,4014,4436
"Ensa",6223,7606,8917,7327,8618,7455,7598,5399,8564,9868
"Mcl1",18562,19553,4952,4652,4302,5707,18638,16119,4024,4099
"Tars2",2700,3713,4269,3664,2578,3655,3118,3778,3791,5293
"Ecm1",2071,442,455,234,182,311,380,235,116,283
"Prpf3",3096,2313,3232,3666,3375,1827,2244,2379,2556,2694
"Aph1a",756,1164,1257,1356,2394,2013,1787,2065,2406,2251
"BC028528",1195,701,893,235,187,445,276,157,201,110
"Ciart",0,188,158,246,241,262,225,309,344,340
"Mrps21",2737,2664,3028,2683,3009,2917,2669,2489,3922,3794
"Vps45",1342,1318,1545,2017,1539,1676,1265,1465,1997,2134
"Plekho1",1711,1721,1614,223,269,563,507,295,308,154
"Bola1",1069,1043,1088,996,843,1024,942,1158,1281,1591
"Sf3b4",4420,6109,5996,4482,4381,3945,3358,3929,4854,5052
"Otud7b",1626,1287,886,1137,1087,439,761,703,1234,608
"Fcgr1",938,446,718,340,763,3367,2660,984,1841,472
"Terc",0,10,12,10,0,5,7,20,54,23
"Polr3gl",529,310,648,768,897,762,769,644,751,959
"Txnip",19371,21976,35937,36764,39153,34593,30914,41776,46837,56789
"Pias3",1161,1667,1195,879,1147,956,906,896,516,745
"Pex11b",1825,2290,2169,1947,2283,2517,1866,2243,3880,3177
"Rbm8a",4073,4752,5433,5457,7065,5202,4619,5784,7174,7930
"Polr3c",1844,3348,4821,4890,5314,4598,4216,3429,6442,5533
"Nudt17",237,139,293,109,204,472,320,103,380,271
"Cd160",954,3020,4169,5661,5584,2034,2574,3357,3762,4676
"Gpr89",439,1353,1734,1550,1219,1511,1241,1403,1473,2363
"Acp6",518,1791,2799,2834,2533,1630,1659,2334,2928,2529
"Chd1l",2812,2673,2843,3839,2390,2041,2152,2216,2447,2862
"Prkab2",910,603,539,458,394,474,422,36,41,305
"Phgdh",4084,6417,7009,4487,4315,4745,4068,5013,5656,6251
"Gdap2",1625,2163,1992,2811,2806,2661,2628,2409,2888,2937
"Ttf2",1057,1007,510,1134,422,324,1001,682,188,654
"Cd101",501,1005,1058,1306,1207,1324,1126,1305,1269,1130
"Cd2",14385,27389,38264,50697,53730,27087,22962,31814,47996,60972
"Sike1",2014,4703,5513,6922,7078,5025,3894,4357,5166,6704
"Nras",7544,8578,4851,6475,5832,8841,10963,8378,6443,7956
"Bcas2",4104,4632,4942,6587,5826,4829,4544,4736,7119,6880
"Hipk1",7180,10396,4295,4631,4257,4831,8047,10110,4493,4374
"Ap4b1",1858,1823,2343,2112,2471,2681,2032,2112,2401,3046
"Ptpn22",7979,17285,20038,28879,30393,23316,25037,24526,33722,33694
"Phtf1",3265,2709,2805,3919,3486,3454,2619,3417,4120,2850
"Slc16a1",918,2697,2453,3583,2612,2057,2284,2242,2451,2086
"Mov10",951,2459,2082,2123,2157,5619,5210,5587,5386,6547
"Rhoc",211,244,396,591,714,923,373,500,844,797
"Ppm1j",892,2931,2741,4484,3441,2752,2438,2228,2291,3703
"St7l",813,1714,1510,1891,1332,1008,1477,1748,1635,2023
"Ddx20",2637,2874,2723,3385,3415,2668,2105,2756,3495,4079
"Gm5547",638,964,833,1553,1757,804,1017,1074,1698,1143
"I830077J02Rik",995,512,819,265,374,1024,710,129,572,129
"Wdr77",2681,3680,4189,4255,3395,4289,4011,4733,3987,4281
"Chil5",294,412,338,97,77,136,81,158,156,109
"Chil3",9385,3737,3489,1936,103,2715,1073,586,633,578
"Dennd2d",5300,4890,6532,4926,2966,5514,4377,5738,4314,5117
"Cept1",5379,5242,5693,5611,5858,8139,7061,5954,8107,8940
"2010016I18Rik",423,325,157,308,333,387,697,399,313,252
"Cd53",35642,34808,43791,57008,54491,45539,41325,43016,60011,67770
"Kcna3",792,772,834,1204,873,1046,882,464,950,1268
"AI504432",669,433,224,246,220,331,595,715,472,237
"Kcna2",1835,392,606,160,461,2622,2394,939,917,451
"Rbm15",1080,901,957,811,806,438,634,569,525,631
"Lamtor5",4852,5012,5483,6845,6809,6598,5696,5775,8662,8266
"Ahcyl1",4743,4117,805,1332,708,3430,5014,5083,1260,1046
"Strip1",3249,4314,5026,5298,7078,3887,3091,4546,3559,6092
"Gstm5",115,99,139,117,101,102,175,40,143,26
"Gstm4",164,322,446,50,442,608,622,273,1048,492
"Gstm1",1384,834,1753,561,563,5194,5049,1946,6071,944
"Ampd2",1675,3373,2541,2719,2629,1997,2471,1914,1787,2988
"Cyb561d1",2574,1518,1520,2113,2046,1553,1515,1620,1530,1274
"Atxn7l2",353,737,933,558,462,446,376,294,552,585
"Amigo1",218,339,78,352,249,132,198,305,246,429
"Psrc1",128,22,26,16,48,3283,2920,3620,3968,3357
"Sars",6000,8391,10175,10269,11188,8279,7205,7821,10412,14596
"Wdr47",1103,993,1123,1861,1364,937,741,896,911,1462
"Taf13",705,957,1186,1629,1396,1380,1146,1225,1442,1814
