"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Fam207a",1.816498084,2.269185755,2.697754551,2.369077184,2.95356398,2.032523524,1.735635467,1.936005629,1.646552845,2.079261441
"Sumo3",3.451507432,4.667964447,4.580621209,5.170604297,5.855689728,4.808902457,4.745394095,4.099333585,5.900523115,5.617749878
"Ube2g2",4.871083577,8.409770447,8.127812499,10.78973223,13.3168058,6.417162642,6.682731854,8.250192127,9.761359459,11.47946683
"Trpm2",1.334302489,0.669728492,0.832501948,0.202184069,0.36800588,1.957507312,2.079114456,0.572606463,0.316916012,0.220941792
"Icosl",9.094638095,9.926379517,5.362331628,0.52760066,0.592008947,1.939701932,2.228134,1.198632191,0.487587688,0.597348464
"Pwp2",3.418459411,4.982832447,4.075690006,3.178221796,3.681497395,3.845056813,4.411871734,3.351037071,1.945572607,4.664627153
"Trappc10",0.57627786,1.148281315,0.250351188,0.281832942,0.11003422,0.404196016,0.745136058,1.040322834,0.170493793,0.176713119
"Agpat3",1.055616078,1.538068178,1.230298175,1.338369782,1.50674396,1.499957904,1.687954476,2.092762876,1.289763451,1.819769563
"Cstb",45.25680532,27.25060827,34.00489638,39.33824426,37.88200689,86.34194258,81.97965619,47.96353379,96.95421155,48.72157732
"Rrp1",18.93163405,23.88333355,28.79089182,24.51155727,25.63629945,20.41113391,18.61593336,20.10226518,28.14493634,26.76047962
"Pdxk",3.793240965,2.293771283,1.671085811,2.028402604,2.247230847,2.441517299,3.469161484,2.341253858,1.747335664,1.890581367
"Ilvbl",6.370477977,5.220959074,9.041127812,7.100449543,7.270477778,4.881135661,6.024785684,4.003654082,7.650321171,5.758810671
"2610008E11Rik",1.464371901,0.757888356,0.712884627,0.800159941,0.895054492,0.693744529,0.496331727,0.40094302,0.700949872,0.55444213
"Mier2",1.636183002,2.047522369,2.020619476,2.078628587,1.000172995,1.428907354,1.914828097,2.300233045,1.473789774,2.060845572
"Plpp2",0.917220301,0.314255042,0.939762121,0.239367149,0.582647972,0.276979936,0.456232211,0.297176829,0.64473384,0.361732389
