"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Fam110a",554,646,777,338,422,402,499,448,427,354,313,452
"Slc52a3",552,860,1020,340,807,1399,906,603,574,951,1179,1476
"Srxn1",1004,316,579,396,234,664,1344,1070,532,520,1118,536
"Csnk2a1",3920,1761,1013,1423,2294,2636,1696,3092,2120,1787,1732,1878
"Sox12",28,30,4,14,0,10,0,0,6,19,0,0
"Rbck1",7752,13385,15709,11423,13109,14091,13048,11615,12697,12344,13525,17943
"Zcchc3",178,160,236,0,12,70,46,138,102,156,162,306
"Trib3",103,150,162,2,14,202,0,48,2,24,188,88
"Defb26",0,0,0,0,0,0,0,10,0,0,0,0
"Defb20",2,0,0,0,0,0,17,0,0,0,0,0
"Defb22",0,0,0,0,0,0,0,12,0,0,0,0
"Defb19",16,0,0,0,0,0,0,0,0,0,0,0
"Rem1",152,36,14,0,54,0,0,6,17,2,0,0
"Defb25",0,2,2,0,0,0,0,0,0,2,0,0
"Mcts2",74,37,22,0,37,44,145,80,26,7,50,37
"Id1",100,34,6,140,18,2,63,16,29,2,0,54
"Cox4i2",12,16,5,14,21,10,41,31,10,47,34,18
"Dusp15",106,0,0,0,0,0,0,2,0,0,0,2
"Tpx2",1234,654,671,410,576,616,241,195,166,28,0,290
"Foxs1",0,0,0,0,0,0,8,0,0,0,0,36
"Mylk2",0,0,0,0,0,0,0,0,2,0,0,0
"Ttll9",34,12,33,42,11,8,44,1,71,2,7,3
"Xkr7",0,0,0,0,0,0,3,0,0,0,0,0
"Pdrg1",4195,6680,6885,6098,6645,6999,7461,6403,6591,6368,9370,9413
"Ccm2l",0,0,6,0,0,0,20,0,17,0,0,0
"Tm9sf4",4435,4738,5555,4318,4791,4527,5444,4162,3710,4047,4409,5841
"Hck",8316,6172,8554,11731,1805,2761,10813,9846,2764,5542,8654,2472
"Pofut1",1089,1515,823,910,390,1789,1319,1367,1268,1620,1060,1160
"Kif3b",1030,2041,1194,1204,1467,1258,1098,1293,1166,1518,1220,1403
"Plagl2",2938,1870,1384,988,1066,1324,1349,1776,1839,1249,705,1378
"2500004C02Rik",70,51,154,298,69,90,129,79,64,44,64,44
"Commd7",4277,5434,6447,5399,6905,6512,5112,4811,4620,5026,7581,7819
"Dnmt3b",262,453,560,772,562,621,323,437,720,473,450,736
"Efcab8",10,0,0,0,0,9,1,0,0,4,0,0
"Sun5",0,2,0,0,0,0,0,0,0,0,0,0
"Bpifa6",0,0,3,0,0,0,1,0,0,1,0,0
"Bpifb3",0,0,0,2,0,0,0,0,0,0,0,0
"Bpifb6",0,0,0,0,0,0,12,0,0,0,0,0
"Bpifb4",0,10,0,2,0,0,0,4,0,0,0,0
"Bpifb1",0,0,0,0,0,0,0,4,0,0,0,0
"Bpifb5",30,12,0,0,0,0,0,0,1,0,0,0
"Bpifb9a",0,0,0,0,0,0,0,1,0,0,0,0
"Cdk5rap1",1715,2504,3496,4034,3191,3527,3352,1911,2410,2620,3808,5180
"Bpifb9b",0,0,0,0,0,0,0,14,0,0,0,0
"Necab3",32,0,13,0,0,4,2,26,43,6,0,0
"Actl10",0,0,0,0,0,0,0,0,0,10,0,0
"E2f1",84,939,330,506,98,118,504,547,524,290,412,210
"Zfp341",130,153,137,0,43,118,30,51,58,56,50,42
"Pxmp4",1090,1209,1967,2827,1380,2077,1463,1066,1506,1178,2174,1776
"1700003F12Rik",0,24,26,20,0,0,58,42,8,32,20,8
"Eif2s2",5566,5663,4203,8305,5346,3329,5443,5282,6208,4837,6637,6795
"a",0,0,6,0,12,4,0,4,0,0,12,9
"Ahcy",1289,1981,1939,1356,1930,2201,1918,1677,2026,2046,2616,2465
"Dynlrb1",4806,5028,6743,6871,6124,7180,6082,5283,6204,5645,8574,8064
"Map1lc3a",646,662,936,977,504,951,626,576,394,612,623,438
"Ncoa6",2468,2147,804,649,822,1189,1669,2279,2628,2311,587,798
"Trp53inp2",584,348,503,28,153,283,563,349,148,253,462,168
"Acss2",2939,4492,5203,2073,9520,12261,3092,4118,3708,3311,4897,7533
"Acss2os",0,10,18,0,52,16,13,25,0,1,8,25
"Ggt7",0,67,2,2,79,193,158,30,72,62,64,161
"Trpc4ap",11073,14566,13886,14023,15572,16562,12857,12802,11540,10993,11371,14334
"Myh7b",0,15,15,0,65,0,0,7,0,0,11,0
"Mmp24",0,8,0,0,0,0,0,0,10,0,0,0
"Eif6",5037,8304,10105,8158,8953,9476,6671,6071,7509,7142,9876,11346
"Procr",24,70,156,12,122,50,114,94,64,6,130,86
"Fam83c",0,0,0,0,0,2,0,0,0,0,0,0
"BC029722",427,631,1176,801,905,988,630,824,620,647,826,859
"Uqcc1",1493,2407,2876,2910,2935,3276,2080,2122,2068,2104,1828,3608
"6430550D23Rik",0,14,3,0,12,14,13,17,32,25,82,2
"Ergic3",4934,6401,6695,6596,4772,6103,5185,5573,5207,5328,5952,7326
"Spag4",0,1,22,0,0,0,0,2,8,0,0,0
"Fer1l4",0,0,0,2,0,0,0,0,23,0,0,0
"Romo1",2619,2032,2689,3937,2309,2015,2559,3188,2959,2567,3706,3602
"Rbm39",28537,30293,29293,42069,35293,34728,24698,26812,26157,19368,31419,29548
"Nfs1",2253,3790,4724,3713,3531,3225,3462,2894,3620,2335,4497,4179
"Scand1",1791,2634,2388,2184,1372,1446,2396,2327,1668,2244,2961,2331
"2900097C17Rik",4354,5416,4864,4358,6700,6678,8002,8429,5316,4526,6320,4776
"Aar2",1722,4044,4702,5686,3517,4537,2673,2577,2733,3479,3563,5288
"4930405A21Rik",7,1,21,0,36,47,57,7,28,20,48,7
"1110008F13Rik",1324,1785,2243,1402,1727,1984,2090,1989,1910,1635,2791,2323
"Sla2",2445,3637,5474,3581,6416,6202,3607,3484,3886,3423,6578,8166
"Tgif2",142,176,130,233,100,64,128,259,274,210,114,101
"5430405H02Rik",141,170,213,127,249,172,213,211,173,183,360,174
"Myl9",1884,316,602,1988,174,284,704,616,144,336,266,78
"Dsn1",370,381,651,396,500,1216,618,358,647,525,177,536
"Ndrg3",4092,6181,6099,7401,6769,7230,4057,4378,4789,4689,7959,8130
"Samhd1",18282,20657,25157,24563,21387,20164,31423,30465,31138,25124,36629,38924
"Tldc2",29,0,0,0,2,11,12,28,18,0,4,0
"Mroh8",27,7,3,12,7,4,13,8,7,1,6,11
"Manbal",544,1308,1490,1554,1356,1438,1246,1382,524,1162,1724,1276
"Src",24,74,27,70,32,96,178,167,98,36,152,38
"Nnat",2,5,4,52,0,2,2,2,2,8,0,2
"Blcap",864,1051,1706,600,1678,1438,1144,1218,1100,1224,1772,2004
"Tti1",1775,2019,2515,1667,1947,1982,1709,1477,2058,1729,2433,2735
"Tgm2",3916,2128,4570,2856,1408,2556,9618,12389,2976,5480,7514,3008
"Lbp",174,60,100,260,34,0,66,0,0,2,0,0
"Snhg11",0,0,0,4,0,0,72,20,2,6,0,0
"Snhg17",453,1321,1123,854,1018,666,796,1013,935,616,796,782
"Arhgap40",1,0,2,0,0,0,0,0,0,0,0,0
"Adig",0,4,16,0,0,0,0,12,0,0,0,0
"Actr5",852,1660,278,361,266,29,204,810,1060,1242,195,320
"Slc32a1",0,0,2,0,0,0,0,0,0,0,0,0
"Fam83d",2,93,50,226,89,12,0,5,116,44,100,0
"Dhx35",1621,1142,849,2161,704,688,1364,1414,1264,1539,1018,1782
"4933416E03Rik",0,0,6,0,0,0,1,0,0,0,0,0
"Mafb",5277,2476,6817,4835,1469,4224,14232,14219,3001,5345,8090,3050
"Gm826",52,0,6,0,0,40,20,36,0,32,0,14
"Plcg1",2066,5703,3198,1552,7097,4981,4726,3987,4409,4543,1920,4849
"Lpin3",172,0,0,0,0,0,8,143,34,50,241,120
"Ift52",2812,2361,2974,3506,2849,3098,3223,3083,1962,2249,2682,3248
"Srsf6",8385,7183,10038,12064,8978,8707,8336,7418,9424,4574,9323,10161
"Sgk2",2,0,0,0,0,0,0,31,7,8,0,0
"Mybl2",209,399,304,5,194,286,66,52,2,40,0,11
"Gtsf1l",0,4,0,0,0,0,0,0,0,0,0,0
"Jph2",0,0,0,2,0,0,0,0,0,0,0,0
"Oser1",1315,2765,2883,2930,3235,2825,2026,2095,1841,2080,4086,3621
"R3hdml",3,0,0,0,0,0,0,0,0,0,0,0
"Hnf4a",0,7,2,0,0,0,0,2,4,0,0,0
"Fitm2",205,155,233,149,245,115,177,113,150,219,213,270
"Serinc3",56933,54694,86135,102327,54244,57146,60707,48930,43672,31113,73506,63050
"Ttpal",6253,7824,8458,9050,3165,4578,3073,2919,3472,2624,1981,3646
"0610039K10Rik",2,17,11,22,0,0,6,0,1,0,1,1
"Ada",1003,577,770,962,303,541,1292,1692,668,1100,1932,620
"Wisp2",114,72,6,0,0,52,182,98,0,35,85,0
"Rims4",0,0,0,0,0,1,0,0,0,0,0,0
"Tomm34",6486,7941,9116,4597,7953,7432,6019,6939,5931,4979,7786,9662
"Ywhab",16546,23048,22207,22741,26373,24941,22566,22923,23368,20947,27909,26842
"Pabpc1l",0,27,20,30,0,12,4,2,0,2,66,3
"Wfdc5",0,0,0,0,0,0,0,4,0,0,0,0
"Kcns1",83,28,1,0,0,0,0,0,0,0,0,0
"Mir7678",10,0,4,10,1,0,11,14,2,0,3,0
"Slpi",16862,6993,17746,16340,5040,8928,37033,39270,12175,14039,33151,6886
"Svs3b",0,0,0,2,0,0,0,0,0,0,0,0
"Sys1",3513,5415,7534,5751,5283,5610,5108,4388,4609,5278,7865,6894
"Dbndd2",850,603,980,366,479,1176,1379,1133,876,1397,1584,1339
"Trp53tg5",0,36,44,0,26,28,8,37,7,26,74,24
"Sdc4",3447,2480,3610,3653,321,394,662,1128,548,292,486,94
"Rbpjl",0,10,11,0,0,0,0,0,0,0,0,0
"Pigt",1744,1838,2989,1961,1806,1884,2313,2619,2774,2572,1827,1953
"Wfdc6a",0,0,0,0,0,0,16,0,0,0,0,0
"Wfdc8",0,0,0,0,0,0,0,0,0,0,0,6
"Wfdc2",0,0,0,0,0,0,0,0,0,0,0,16
"Wfdc11",1,0,0,0,0,0,6,0,0,0,0,0
"Wfdc9",0,0,0,0,0,0,0,4,0,0,0,0
"Wfdc16",0,0,0,0,0,0,0,1,0,0,0,0
"Wfdc3",0,0,6,0,0,0,0,12,0,0,0,0
"Snx21",591,261,201,364,139,141,235,91,91,101,158,247
"Zswim1",834,2330,2846,1710,3078,2020,2108,1682,2050,2290,2407,2630
"Tnnc2",0,0,24,0,0,0,0,0,0,4,0,0
"Zswim3",438,1232,1175,1160,1246,1799,684,654,925,562,862,1165
"Neurl2",191,151,168,133,28,53,82,49,76,36,15,61
"Pltp",1340,1587,2979,2397,1539,1727,2539,2144,1515,1403,2468,1789
"Acot8",916,1496,1792,1110,1014,1488,848,683,1037,1041,1537,1478
"Ctsa",20031,21732,36645,24807,28409,35528,37050,33802,23137,24609,37731,34995
"Ube2c",1456,1586,1285,1390,906,719,140,170,306,38,38,26
"Zfp335",2815,4738,3635,1937,3522,2558,2935,2867,2606,2518,1421,2579
"Slc12a5",26,3,8,37,9,0,17,1,82,23,0,2
"Mmp9",2973,784,1475,2594,216,581,5206,4000,1208,44,150,1012
"Cd40",2358,3322,4541,5657,654,228,135,226,57,26,590,212
"Ocstamp",238,94,130,608,0,123,9,47,0,0,90,0
"Zfp334",0,0,2,0,2,0,48,44,1,0,0,0
"Elmo2",7726,5847,5820,7040,4670,5744,5067,5130,3499,4086,4653,5026
"Slc2a10",0,0,0,0,0,0,0,0,68,0,0,0
"Trp53rka",1422,2717,2082,3062,2455,1834,1598,1608,2035,1990,1369,2655
"Sulf2",1445,547,292,790,224,131,1249,1453,727,1110,497,215
"Gm11468",0,0,0,0,0,0,0,1,0,0,0,0
"5031425F14Rik",0,53,43,137,22,0,35,8,14,71,4,30
"Mir6364",0,0,0,0,0,0,0,2,0,6,0,0
"Trp53rkb",123,727,719,227,290,453,275,341,394,240,422,693
"Cse1l",5182,6098,5496,7650,8825,6880,5265,5513,4915,3826,5619,7671
"Znfx1",3908,5722,2778,2938,3477,4047,9921,9346,5927,8136,3178,4421
"Snord12",41,38,36,19,18,13,28,26,47,5,14,10
"Ddx27",4260,4126,5682,5248,5174,4584,4334,3743,4118,3452,5071,6824
"Zfas1",1554,1255,1113,1088,722,580,1087,1593,1500,1196,973,1170
"Ptgis",274,712,972,1260,200,316,1615,1595,366,836,966,416
"B4galt5",886,2024,580,548,604,881,848,1147,1651,2388,942,531
"Slc9a8",2275,2765,2752,2785,2834,2196,2606,2656,1570,2361,2105,2464
"Spata2",1991,2184,2810,1078,2125,2852,1861,1839,1613,1573,1134,2583
"Snai1",0,20,26,28,0,0,0,0,4,2,10,0
"Ube2v1",3381,4512,4334,3982,4241,4000,3906,3324,3777,3379,4925,5289
"Cebpb",128,534,28,16,16,12,94,242,224,1292,30,2
"Tmem189",2641,5252,3914,2362,4056,5017,3225,4321,3459,4530,4042,3781
"A530013C23Rik",0,4,15,0,0,0,0,0,0,0,0,2
"Fam65c",11,18,33,0,6,112,6,8,6,51,4,0
"Ptpn1",12054,12556,13911,11126,14126,14678,13425,12065,8393,12329,11523,11679
"Pard6b",38,236,46,0,12,6,62,38,224,46,118,4
"E130018N17Rik",0,0,0,0,0,0,1,0,0,0,0,0
"Kcng1",59,50,39,113,0,0,0,0,0,0,0,0
"Dpm1",123,120,56,70,199,264,110,140,96,145,42,50
"Mocs3",771,482,213,2,199,140,512,506,632,635,170,157
"Adnp",0,0,0,0,1,0,0,0,6,4,0,4
"Sall4",75,0,0,10,0,0,0,0,2,0,0,0
"Bcas1os2",0,0,0,0,0,0,0,2,0,0,0,0
"Pfdn4",603,373,395,517,674,532,404,600,508,455,560,639
"Gm16796",3,0,6,0,0,0,8,20,0,7,0,3
"4930470P17Rik",0,0,0,0,0,0,0,4,0,0,0,0
"Fam210b",1002,2060,2007,1647,1998,2277,1173,1040,597,866,1381,1920
"Cstf1",1246,1978,2670,2207,1212,1995,1429,1255,1454,1362,1938,2595
"Rtfdc1",7283,7967,11817,9743,9407,10300,7974,7532,7038,7601,10323,10458
"Fam209",6,39,17,0,18,0,26,33,1,0,42,16
"Cass4",379,16,151,31,16,89,308,36,4,0,114,0
"Gcnt7",110,60,137,0,92,32,44,116,8,19,8,26
"Tfap2c",0,0,0,0,0,0,2,0,0,0,0,0
"Spo11",128,40,99,6,5,11,108,112,207,44,0,86
"Rbm38",2838,2291,2017,1866,1517,1193,1535,1764,1879,1541,975,1419
"Ctcfl",64,0,0,0,0,0,8,0,0,0,0,0
"Ctcflos",0,0,0,0,0,0,0,0,4,0,6,0
"Zbp1",1499,2504,2435,2239,3153,3497,7811,8503,7953,7778,7110,10223
"Pck1",0,8,38,0,0,0,0,0,14,0,0,0
"Pmepa1",164,80,28,58,0,0,76,70,66,65,0,2
"1700021F07Rik",104,0,0,0,0,0,0,0,0,0,0,0
"Ppp4r1l-ps",193,141,220,276,115,320,95,111,230,65,258,412
"1700010B08Rik",0,0,0,19,0,0,0,36,0,0,0,0
"Vapb",767,495,216,276,202,278,410,396,514,560,434,258
"Stx16",2780,2124,1203,260,922,750,1470,1593,2040,1038,790,1337
"Npepl1",3341,5811,3828,3159,3104,3048,3622,4462,3673,4956,4106,3898
"Nespas",0,31,20,0,5,67,2,0,0,2,0,0
"Ctsz",17308,17916,27875,26268,8180,10762,24383,21602,9608,13641,24674,11166
"Nelfcd",2566,3815,5007,4547,3040,3148,2943,2207,2480,2221,3027,2702
"Atp5e",5869,6073,6482,7251,4585,5324,5553,6155,6738,6398,6776,7360
"Slmo2",2334,3096,2383,2944,2107,2863,2100,2589,2663,2141,3175,3291
"Zfp831",1209,1336,999,416,523,1001,436,656,515,685,150,702
"Edn3",0,0,30,0,0,0,0,20,0,0,0,0
"Gm14393",0,0,0,0,0,0,6,12,0,0,0,0
"Gm6710",0,0,0,2,4,0,0,1,0,0,0,0
"Gm14440",0,0,0,1,0,2,6,1,2,2,1,0
"Gm14288",0,0,0,1,0,0,0,0,0,0,0,0
"Zfp973",0,0,0,0,0,1,0,0,0,0,0,0
"Gm14295",112,53,92,94,38,163,65,85,126,68,190,70
"Gm14305",160,157,178,37,231,116,192,173,124,144,132,257
"Gm14403",6,54,30,0,286,1,230,138,10,14,4,66
"Gm14322",7,0,16,38,2,8,12,27,4,19,6,26
"Gm14325",766,431,310,207,578,613,244,329,212,238,638,254
"Gm14326",137,292,362,380,264,465,311,342,376,164,592,208
"Gm14327",0,6,2,7,0,0,0,0,5,0,12,0
"Zfp972",19,2,28,27,45,16,12,15,6,0,54,13
"Zfp931",78,194,189,217,153,138,77,111,156,126,161,225
"Zfp971",101,570,340,50,423,616,415,367,614,341,151,368
"Cdh26",0,0,0,0,0,0,1,0,0,0,5,0
"Fam217b",12,6,6,6,0,0,112,30,10,0,38,0
"Ppp1r3d",294,12,62,10,136,36,88,230,76,54,56,74
"Mtg2",1292,2321,2902,1341,2163,2416,1735,1561,2039,1838,2846,3116
"Ss18l1",291,444,391,20,140,288,219,350,230,294,274,549
"Lsm14b",359,130,46,146,82,73,78,150,243,302,18,24
"Psma7",12436,15236,14567,14550,14605,14665,15592,14153,15726,14259,17842,17941
"4921531C22Rik",150,240,237,67,556,221,230,285,127,216,447,362
"Osbpl2",2490,3985,3475,3118,3856,3638,3378,2426,2117,3341,2414,4221
"Adrm1",2990,5054,6650,4299,4850,4225,4453,4347,3849,4441,5695,6230
"Rps21",13747,20156,5037,6202,4372,3948,5475,11040,14669,20237,6109,6719
"Mir3091",8,10,10,6,3,0,0,1,3,1,6,2
"Rbbp8nl",0,0,0,0,0,0,0,2,0,0,0,0
"Cables2",2650,5005,697,1073,505,531,410,1860,1607,2188,392,443
"Gata5os",0,0,0,8,0,0,0,0,2,0,0,0
"Slco4a1",249,688,648,1305,553,433,210,155,274,442,906,271
"Mir1a-1hg",2,0,0,0,0,0,0,0,0,0,0,0
"Ogfr",3679,3772,5233,6332,3841,3614,6449,4546,4734,4797,4967,6419
"Mrgbp",766,1090,1424,1383,1171,929,995,802,866,887,1174,986
"Ntsr1",0,0,0,0,0,0,0,0,2,0,0,0
"Slc17a9",1504,2092,2551,1996,2398,1996,2231,1611,2791,1997,2367,2520
"Dido1",2973,2606,1545,2508,2615,2061,1947,2034,2675,1856,1026,2032
"Gid8",3252,4816,2827,2697,3385,2738,2652,3393,3145,2691,3147,3219
"Tcfl5",0,0,0,0,0,0,0,0,2,0,0,0
"Birc7",0,4,0,0,0,0,0,0,0,0,0,0
"Nkain4",0,0,7,0,0,0,0,0,0,0,0,0
"Arfgap1",1219,2778,3360,1905,2440,2399,2571,2247,2091,2849,2899,3445
"Ythdf1",2262,4282,507,1002,700,586,570,2189,3506,3736,349,443
"Kcnq2",0,0,0,0,0,0,0,8,0,0,0,0
"Helz2",3219,4462,2091,1614,1213,777,2579,3007,4230,2972,931,1835
"Ppdpf",4462,6288,9132,7308,3374,3928,2956,2743,2988,2683,4182,3876
"Srms",679,122,208,114,2,0,0,0,101,0,0,0
"Ptk6",0,0,16,0,0,0,1,0,0,0,0,74
"BC051628",0,0,74,0,0,34,0,0,0,17,0,6
"Stmn3",0,0,0,0,12,0,0,0,0,2,0,0
"Rtel1",1538,1797,2406,1997,2575,1343,1482,1801,1580,1436,1192,2196
"Arfrp1",4099,6453,6750,5308,7225,7804,5380,4336,5401,5130,7637,8973
"Zgpat",3620,4456,4761,3741,5354,5355,3110,3735,2914,3381,4221,5216
"Lime1",4920,9823,9566,5298,12991,13097,8739,8985,10954,10063,14631,15517
"Slc2a4rg-ps",1217,1382,535,478,695,776,749,1131,1257,610,498,349
"Abhd16b",0,0,28,0,0,0,0,39,0,0,25,0
"Tpd52l2",2033,3158,4622,3597,3857,3798,3688,2932,3312,2393,4647,5037
"Uckl1",5137,5758,7671,5838,5442,6639,4645,4136,4612,3863,3474,5456
"Prpf6",5586,5905,8320,9297,7502,7843,7149,6105,5981,6761,8229,9600
"Samd10",950,1780,1964,2168,1662,1702,863,1253,1079,1151,1350,1693
"Uckl1os",34,10,40,34,23,39,13,76,36,28,18,71
"Zfp512b",989,1771,601,380,532,641,1082,1343,1152,1355,695,807
"Oprl1",0,0,14,0,0,4,0,0,8,0,0,0
"Tcea2",596,564,560,731,469,348,310,640,337,344,189,356
"Rgs19",10168,12333,12583,12438,7690,7508,8842,9159,9354,7209,10098,10221
"Sox18",12,0,0,60,26,0,8,4,0,0,0,0
"Lkaaear1",0,14,0,0,0,0,0,0,0,20,0,0
"Polr3k",2440,3511,2895,2370,3768,4058,4157,3223,3586,3009,5024,4518
"Pcmtd2",4187,4615,3017,2895,5934,5825,4009,3086,3358,3655,3899,5287
"Gm14496",0,0,0,0,2,0,0,0,0,0,0,0
"Rsrc1",1474,1720,1075,642,1522,2051,1049,1479,1168,1150,2111,1298
"4930593A02Rik",0,0,2,14,0,0,0,0,0,0,0,0
"Man1a2",6582,5056,3732,3894,5713,5399,4006,4074,4522,3568,3155,5138
"Gbp2b",1,60,6,92,6,8,14,138,262,6,104,3
"Zfhx4",20,0,0,0,0,0,11,0,15,0,0,0
"Ralyl",24,0,0,0,0,0,4,19,0,0,0,6
"4930539N22Rik",0,0,3,0,0,0,0,0,0,0,0,0
"Zfp704",104,48,0,0,0,0,37,76,42,4,0,0
"Naaladl2",0,2,0,0,0,0,0,15,11,0,0,0
"Tnik",1017,977,728,509,1310,1127,1436,1383,1195,1252,625,1266
"Mecom",12,0,60,4,0,0,8,2,6,38,102,0
"Egfem1",2,0,0,0,0,0,0,1,1,1,0,0
"Nlgn1",0,0,0,0,0,0,0,6,44,0,0,0
"Abhd18",302,387,143,1067,277,276,244,263,371,102,161,240
"Gm6639",0,0,0,0,0,0,0,4,0,0,0,0
"Ankub1",0,0,0,0,0,13,0,16,0,0,0,0
"Proser1",999,1284,881,980,1029,907,669,1145,979,693,651,671
"Slc33a1",1834,1178,1379,1190,1423,1392,1279,1382,1415,1427,1798,1952
"Veph1",0,7,0,6,0,0,5,0,0,0,0,0
"Schip1",0,0,0,4,0,0,0,0,3,0,0,0
"Gm20754",1,0,0,0,0,0,0,0,0,0,0,0
"4930509J09Rik",0,0,0,0,0,0,0,2,0,0,0,0
"Gria2",0,0,0,0,6,0,4,4,0,0,0,0
"Fstl5",0,0,0,0,0,0,0,8,0,2,0,0
"Rbm46",75,0,2,0,0,0,2,0,0,0,0,0
"Rxfp1",15,0,0,0,0,0,0,0,0,0,0,0
"Nup210l",11,35,72,113,48,29,18,64,67,25,24,11
"Fbxw7",1475,1851,954,783,1645,870,1257,1569,1758,1393,803,841
"Tspan2",1240,537,593,1140,545,1139,447,245,172,260,483,496
"Capza1",17634,20201,19655,22934,28110,28425,23207,22895,24023,17639,27164,34510
"Tmigd3",0,0,0,0,5,0,0,30,0,2,0,0
"Dclre1b",1308,888,1253,1007,1578,959,1281,1195,1847,1378,1287,1899
"Adora3",0,21,14,0,0,0,0,8,0,0,0,0
"Ntng1",0,5,0,0,0,0,0,0,0,0,0,0
"Cdc14a",1075,1077,875,1413,1313,937,505,1001,514,656,332,702
"6530403H02Rik",0,0,0,0,0,0,0,43,0,2,0,0
"Sec24b",3025,3928,3459,2187,4510,4522,3411,3431,3647,3166,3141,4376
"Arhgef38",0,0,0,0,0,0,0,43,0,0,0,0
"Dkk2",32,0,0,0,0,0,34,18,0,0,0,0
"9830132P13Rik",0,3,0,0,4,5,6,0,0,0,0,0
"Bank1",15252,12217,18877,21354,2114,2858,5210,5369,3085,2330,4771,1146
"Stpg2",0,0,0,0,0,0,17,6,0,4,0,0
"Emcn",0,0,2,0,0,0,4,0,0,0,0,0
"Unc5c",2,26,5,0,0,0,22,0,25,0,0,16
"Cenpe",739,251,173,304,198,209,74,68,28,2,344,7
"Sh3glb1",11942,9443,6022,6675,8296,7507,11246,11707,9473,9017,9634,7130
"Adgrl2",271,158,12,4,4,108,64,185,125,20,44,66
"Prkacb",9111,11225,10115,12724,16079,15335,11401,12166,9573,9947,11652,12870
"Negr1",0,2,0,0,0,16,0,20,8,0,0,0
"Lrrc7",12,0,1,0,0,0,7,8,2,0,0,0
"Lrriq3",12,10,24,0,10,40,36,8,28,4,0,56
"Slc44a5",16,1,2,0,93,0,16,21,3,0,0,0
"Hnf4g",0,0,0,0,0,0,0,4,0,0,0,0
"Il7",0,26,0,4,0,0,86,100,50,133,159,0
"Stmn2",22,0,4,2,8,2,32,2,1,4,26,18
"Mrps28",1416,1667,1435,1926,1251,1018,1738,1365,1620,1222,1425,1680
"Pag1",3567,3696,2151,1727,2839,2242,3433,2484,3227,1850,960,2275
"Gm9833",31,26,39,53,54,25,58,51,26,30,40,68
"Lrrcc1",479,757,870,328,1299,716,1147,1262,1138,1038,1036,1041
"Gm5150",1105,549,1238,1464,258,740,2382,2077,556,689,1395,260
"Cyp7b1",23,0,0,0,0,0,19,24,0,6,0,0
"Trim55",0,0,0,0,0,0,0,11,0,0,0,24
"Pde7a",3146,3842,2492,1429,3282,2337,1770,2356,3389,4278,2248,1761
"Armc1",2694,3741,3862,3837,3855,4653,4049,3388,3794,3246,5421,5649
"Tbl1xr1",5476,6064,3504,3649,4291,4923,6067,6416,7520,4862,2625,4570
"Spata16",5,4,0,0,0,0,2,0,0,0,0,0
"Ect2",708,848,414,2,652,440,307,212,342,114,48,160
"Pld1",443,144,138,460,46,227,795,476,62,284,272,60
"Fndc3b",430,452,32,14,48,38,366,673,425,884,322,176
"Slc2a2",0,0,0,0,0,0,0,2,0,0,0,0
"Lrriq4",0,2,0,0,0,0,2,2,0,0,0,0
"Phc3",2507,2267,1235,1300,1824,1488,2098,3076,3049,2824,2290,1539
"Sec62",5226,5971,5561,5831,7424,7274,6755,6402,8204,5013,6341,8213
"Kcnmb2",0,0,0,0,0,0,24,0,4,0,0,0
"Pex5l",0,19,1,0,0,0,0,26,0,0,0,0
"Usp13",2,0,0,0,0,0,6,0,10,0,0,0
"4930419G24Rik",0,0,0,0,0,0,0,0,1,0,0,0
"Dnajc19",2197,2683,2759,2776,2537,2778,3088,2898,2841,2463,4881,3775
"Ccdc39",0,32,23,0,33,5,25,14,55,4,41,16
"Ccna2",2263,1389,1293,425,966,1031,58,270,134,23,19,84
"Dcun1d1",3861,4033,2874,3288,5234,4121,3602,3892,3963,2621,3967,4625
"Atp11b",14643,19491,10205,12771,21746,19192,18310,18957,22499,13119,10291,19335
"Ccdc144b",0,0,0,0,0,0,0,0,0,3,0,0
"4932438A13Rik",11119,8458,10860,10846,12442,12004,10890,9792,12104,8205,9068,10002
"Il21",0,39,34,294,0,0,0,0,0,0,0,0
"Spata5",1579,1788,1970,1469,1870,2402,2231,1796,1928,1813,2579,2426
"Fgf2",0,0,0,0,4,0,0,7,22,0,0,6
"Fat4",56,4,0,0,0,0,0,6,0,0,0,0
"Hspa4l",1323,1063,1323,1255,2176,1967,1023,844,948,1003,1516,1247
"Intu",179,10,96,0,0,130,270,259,94,4,48,79
"Sclt1",661,539,685,14,524,513,357,588,774,436,910,405
"Noct",318,398,262,98,262,359,698,539,534,165,300,242
"Maml3",801,224,270,0,38,2,89,240,48,183,16,42
"Foxo1",10135,9942,2925,4210,2145,943,3707,6614,8689,5461,1672,1853
"Lhfp",0,0,0,226,44,0,98,96,10,8,0,12
"Trpc4",0,0,0,0,0,0,2,3,14,0,2,0
"Frem2",0,0,0,0,0,0,2,4,9,0,0,0
"Smad9",0,0,0,0,0,0,2,0,0,0,0,0
"Dclk1",40,4,22,2,0,52,0,20,48,1,0,0
"Ccna1",0,0,0,0,0,0,0,3,0,0,0,0
"Nbea",56,12,42,0,28,0,0,24,106,0,0,4
