"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Grin3b",16,2,31,12,0,13,53,41,41,10,31,20
"Hmha1",29066,55772,64184,31953,56868,66032,33438,36092,41085,34209,36338,57392
"Tmem259",862,1767,737,948,531,438,567,507,785,1379,463,331
"Midn",557,349,203,158,193,132,329,444,602,483,163,209
"1600002K03Rik",427,1046,923,508,761,645,696,707,584,862,586,678
"Atp5d",8898,12700,14166,10837,11576,11693,11842,11646,13450,12253,16337,17805
"Cirbp",2724,2407,2896,2378,2285,2702,2487,2842,2418,3970,4668,3642
"Stk11",3080,4208,1468,1905,1732,2060,3026,3257,3108,3191,1550,1187
"Cbarp",95,181,126,0,142,40,113,123,243,89,86,4
"Efna2",0,0,0,0,22,0,0,36,18,84,0,0
"Rps15",20974,28099,13505,13155,8829,9147,11887,17321,22805,26383,13551,14601
"Apc2",6,104,94,60,3,12,0,17,4,46,2,0
"Dazap1",823,1284,574,441,447,491,558,781,958,1104,698,616
"Mir6911",0,1,0,0,0,0,0,0,0,0,0,0
"Reep6",4,104,0,0,0,0,26,22,4,36,30,82
"Pcsk4",6,237,207,116,169,0,284,302,330,60,278,271
"Ndufs7",4986,8150,10278,7824,7716,7179,5980,6794,6195,8166,9626,10198
"Mum1",3902,3961,4529,4354,4468,4605,2230,2472,2785,2331,3419,3541
"2310011J03Rik",3363,4060,4454,4061,3493,4355,2771,3025,2797,3150,3875,4657
"Gamt",104,24,250,293,106,0,93,101,8,10,38,8
"Tcf3",6863,11046,11075,8360,9485,9389,5080,4717,5586,6004,6342,7991
"Mex3d",10,96,70,96,98,44,20,44,130,68,8,12
"Uqcr11",4319,6131,6778,4682,4802,4578,5993,6297,5478,5844,8053,7134
"Mbd3",4012,6782,4606,3292,3257,3516,3265,3911,3615,4355,2600,3540
"Onecut3",0,0,0,0,0,0,48,0,0,0,0,0
"Klf16",468,777,246,92,416,290,461,570,360,650,228,304
"Atp8b3",0,0,4,0,0,0,4,2,0,0,0,0
"Adat3",250,388,592,372,374,332,251,216,367,484,218,498
"Rexo1",2339,4538,3074,1305,1937,2026,2762,2576,3394,3639,1211,2458
"Abhd17a",5734,6957,9353,7835,5802,6295,5097,4644,4563,4603,5897,6059
"Mknk2",13709,23098,5336,3610,4058,4833,5396,11673,14662,19343,3745,4585
"Csnk1g2",1790,6891,964,935,994,759,1163,2635,3845,8073,1133,1002
"Btbd2",715,1767,268,316,210,215,327,1343,1147,2167,172,392
"Izumo4",1108,1531,1819,1200,1782,1823,1678,1550,1498,2284,2435,2850
"Mob3a",14976,28258,30713,19168,31962,37508,23203,18944,24851,22496,28600,41198
"Sf3a2",1011,1884,417,260,267,288,543,944,960,1211,163,341
"Amh",0,16,0,0,0,0,0,0,1,0,0,0
"Plekhj1",5056,6439,5958,6812,5530,6193,4477,4006,4933,4652,5919,6435
"Lsm7",1242,1950,2493,2250,1807,1382,1703,1365,1808,1579,2121,1995
"Sppl2b",1127,2701,3091,1004,2341,2146,1356,1351,1153,1105,643,1802
"Oaz1",13,9,1,15,15,9,13,16,10,21,6,8
"Dot1l",1485,924,443,405,440,447,623,689,570,673,329,481
"Jsrp1",0,0,0,0,0,0,0,0,1,10,0,0
"Lmnb2",506,1098,1471,964,1326,911,900,876,1131,919,861,1222
"Gadd45b",1689,1341,2376,1389,1730,1274,1218,1120,706,965,1117,881
"Tmprss9",0,19,2,0,9,0,0,0,0,0,0,12
"Timm13",3096,5210,6572,5294,4289,4307,4095,4138,3703,4416,5558,5730
"Sgta",4843,4881,6963,6028,5036,5368,5155,4364,3976,4067,5027,6680
"Thop1",348,408,771,712,779,665,544,590,756,341,513,541
"Slc39a3",2151,1488,2486,812,1592,1438,1252,1184,779,1932,1855,2355
"Creb3l3",0,0,74,0,28,0,86,89,0,26,192,0
"Map2k2",4700,8266,9544,7118,7111,7128,7138,6582,5994,6396,8990,9796
"Zbtb7a",3281,4168,3614,1783,4316,4706,2503,3712,3397,3779,3547,4050
"Atcay",258,69,114,2,40,110,8,0,0,0,190,78
